t,x
0.18309,1.134
0.183349,1.138
0.183608,1.138
0.183866,1.138
0.184125,1.138
0.184384,1.142
0.184643,1.142
0.184901,1.142
0.185161,1.146
0.185419,1.146
0.185678,1.146
0.185937,1.15
0.186196,1.15
0.186455,1.15
0.186714,1.154
0.186973,1.154
0.187231,1.154
0.187491,1.158
0.187749,1.158
0.188008,1.158
0.188268,1.162
0.188526,1.162
0.188785,1.162
0.189045,1.166
0.189303,1.166
0.189562,1.166
0.189821,1.17
0.19008,1.17
0.190339,1.17
0.190598,1.174
0.190857,1.174
0.191115,1.174
0.191375,1.178
0.191634,1.178
0.191892,1.178
0.192152,1.182
0.192411,1.182
0.192669,1.182
0.192929,1.186
0.193187,1.186
0.193446,1.186
0.193706,1.19
0.193964,1.19
0.194223,1.19
0.194483,1.194
0.194741,1.194
0.195,1.194
0.195259,1.198
0.195518,1.198
0.195776,1.198
0.196036,1.202
0.196295,1.202
0.196553,1.202
0.196813,1.206
0.197071,1.206
0.19733,1.206
0.197589,1.21
0.197848,1.21
0.198106,1.21
0.198366,1.214
0.198624,1.214
0.198883,1.214
0.199142,1.218
0.199401,1.218
0.199659,1.218
0.199919,1.222
0.200177,1.222
0.200436,1.222
0.200695,1.226
0.200954,1.226
0.201212,1.226
0.201472,1.23
0.20173,1.23
0.201989,1.23
0.202248,1.234
0.202507,1.234
0.202765,1.234
0.203025,1.238
0.203283,1.238
0.203542,1.238
0.203801,1.242
0.20406,1.242
0.204318,1.242
0.204578,1.246
0.204837,1.246
0.205095,1.246
0.205354,1.25
0.205613,1.25
0.205872,1.25
0.206131,1.254
0.206389,1.254
0.206647,1.254
0.206906,1.258
0.207165,1.258
0.207424,1.258
0.207683,1.262
0.207942,1.262
0.208201,1.262
0.20846,1.266
0.208719,1.266
0.208978,1.266
0.209237,1.27
0.209496,1.27
0.209755,1.27
0.210014,1.274
0.210273,1.274
0.210532,1.274
0.210791,1.278
0.21105,1.278
0.211308,1.278
0.211567,1.282
0.211826,1.282
0.212084,1.282
0.212343,1.286
0.212602,1.286
0.21286,1.286
0.213119,1.29
0.213378,1.29
0.213636,1.29
0.213895,1.294
0.214154,1.294
0.214412,1.294
0.214671,1.298
0.21493,1.298
0.215188,1.298
0.215447,1.302
0.215706,1.302
0.215964,1.302
0.216223,1.306
0.216482,1.306
0.21674,1.306
0.216999,1.31
0.217258,1.31
0.217516,1.31
0.217775,1.31
0.218034,1.314
0.218293,1.314
0.218551,1.314
0.218811,1.318
0.219069,1.318
0.219328,1.318
0.219587,1.322
0.219846,1.322
0.220104,1.322
0.220364,1.326
0.220622,1.326
0.220881,1.326
0.221141,1.33
0.221399,1.33
0.221658,1.33
0.221918,1.334
0.222176,1.334
0.222435,1.334
0.222694,1.338
0.222953,1.338
0.223212,1.338
0.223471,1.342
0.22373,1.342
0.223988,1.342
0.224248,1.346
0.224507,1.346
0.224765,1.346
0.225025,1.35
0.225283,1.35
0.225542,1.35
0.225802,1.354
0.22606,1.354
0.226319,1.354
0.226579,1.358
0.226837,1.358
0.227096,1.358
0.227356,1.362
0.227614,1.362
0.227873,1.362
0.228132,1.366
0.228391,1.366
0.22865,1.366
0.228909,1.37
0.229168,1.37
0.229426,1.37
0.229686,1.374
0.229945,1.374
0.230203,1.374
0.230463,1.378
0.230721,1.378
0.23098,1.378
0.231239,1.382
0.231498,1.382
0.231756,1.382
0.232016,1.386
0.232274,1.386
0.232533,1.386
0.232792,1.39
0.233051,1.39
0.233309,1.39
0.233569,1.394
0.233828,1.394
0.234086,1.394
0.234345,1.398
0.234604,1.398
0.234862,1.398
0.235122,1.402
0.235381,1.402
0.235639,1.402
0.235898,1.406
0.236157,1.406
0.236415,1.406
0.236675,1.41
0.236934,1.41
0.237192,1.41
0.237451,1.414
0.23771,1.414
0.237968,1.414
0.238228,1.418
0.238487,1.418
0.238745,1.418
0.239004,1.422
0.239263,1.422
0.239521,1.422
0.239781,1.426
0.24004,1.426
0.240298,1.426
0.240557,1.43
0.240816,1.43
0.241074,1.43
0.241333,1.434
