x,y,rho
0.025391,0.041016,1
0.033203,0.041016,1
0.041016,0.041016,1
0.048828,0.041016,1
0.056641,0.041016,1
0.064453,0.041016,1
0.072266,0.041016,1
0.080078,0.041016,1
0.087891,0.041016,1
0.095703,0.041016,1
0.10352,0.041016,1
0.11133,0.041016,1
0.11914,0.041016,1
0.12695,0.041016,1
0.13477,0.041016,1
0.14258,0.041016,1
0.15039,0.041016,1
0.1582,0.041016,1
0.16602,0.041016,1
0.17383,0.041016,1
0.18164,0.041016,1
0.18945,0.041016,1
0.19727,0.041016,1
0.20508,0.041016,1
0.21289,0.041016,1
0.2207,0.041016,1
0.22852,0.041016,1
0.23633,0.041016,1
0.24414,0.041016,1
0.25195,0.041016,1
0.25977,0.041016,1
0.26758,0.041016,1
0.27539,0.041016,1
0.2832,0.041016,1
0.29102,0.041016,1
0.29883,0.041016,1
0.30664,0.041016,1
0.31445,0.041016,1
0.32227,0.041016,1
0.33008,0.041016,1
0.33789,0.041016,1
0.3457,0.041016,1
0.35352,0.041016,1
0.36133,0.041016,1
0.36914,0.041016,1
0.37695,0.041016,1
0.38477,0.041016,1
0.39258,0.041016,1
0.40039,0.041016,1
0.4082,0.041016,1
0.41602,0.041016,1
0.42383,0.041016,1
0.43164,0.041016,1
0.43945,0.041016,1
0.44727,0.041016,1
0.45508,0.041016,1
0.46289,0.041016,1
0.4707,0.041016,1
0.47852,0.041016,1
0.48633,0.041016,1
0.49414,0.041016,1
0.50195,0.041016,1
0.50977,0.041016,1
0.51758,0.041016,1
0.52539,0.041016,1
0.5332,0.041016,1
0.54102,0.041016,1
0.54883,0.041016,1
0.55664,0.041016,1
0.56445,0.041016,1
0.57227,0.041016,1
0.58008,0.041016,1
0.58789,0.041016,1
0.5957,0.041016,1
0.60352,0.041016,1
0.61133,0.041016,1
0.61914,0.041016,1
0.62695,0.041016,1
0.63477,0.041016,1
0.64258,0.041016,1
0.65039,0.041016,1
0.6582,0.041016,1
0.66602,0.041016,1
0.67383,0.041016,1
0.68164,0.041016,0.999999
0.68945,0.041016,0.999951
0.69727,0.041016,0.997158
0.70508,0.041016,0.98447
0.71289,0.041016,0.965482
0.7207,0.041016,0.94393
0.72852,0.041016,0.921559
0.73633,0.041016,0.899049
0.74414,0.041016,0.876675
0.75195,0.041016,0.854545
0.75977,0.041016,0.832758
0.76758,0.041016,0.811478
0.77539,0.041016,0.790426
0.7832,0.041016,0.768786
0.79102,0.041016,0.746191
0.79883,0.041016,0.723011
0.80664,0.041016,0.699746
0.81445,0.041016,0.676664
0.82227,0.041016,0.653868
0.83008,0.041016,0.631406
0.83789,0.041016,0.609266
0.8457,0.041016,0.587447
0.85352,0.041016,0.565991
0.86133,0.041016,0.544937
0.86914,0.041016,0.524258
0.87695,0.041016,0.503957
0.88477,0.041016,0.484062
