step,t,dt,res_mass,res_momx,res_momy,res_energy,cells,patches,rho_min,rho_max,p_min,p_max,mass,kinetic_energy,total_energy,enstrophy,species_mass,wall_s,mcells_per_s
1070,1.5273533,0.00142292,0.417359,0.55173,0.305377,2.56655,92160,296,0.977267,2.02554,2.36634,2.55778,1.49999994,0.0428444985,6.29691294,4.67304045,0,5.845,14.2
1080,1.54157975,0.00142215,0.585795,0.515641,0.60967,3.49065,89088,284,0.978229,2.02471,2.3583,2.55854,1.49999994,0.0428194819,6.29691294,4.66779825,0,5.938,14.1
1090,1.55583261,0.00142719,0.605517,0.632113,0.736944,4.19636,91136,292,0.978139,2.0262,2.36602,2.56347,1.49999995,0.0427950413,6.29691294,4.62056587,0,6.013,14.1
1100,1.57011042,0.00142801,0.50596,0.466137,0.562912,2.90363,89088,284,0.976565,2.02475,2.35771,2.57042,1.49999994,0.0427683733,6.29691294,4.64479963,0,6.072,14.1
1110,1.58441044,0.00143018,0.614531,0.527775,0.748658,3.73247,90112,288,0.974465,2.02474,2.37552,2.57518,1.49999994,0.0427421769,6.29691295,4.62052694,0,6.134,14.1
1120,1.59870833,0.00143079,0.557053,0.562617,0.624043,3.45775,90112,288,0.973332,2.02709,2.37122,2.57761,1.49999994,0.0427096442,6.29691295,4.59812156,0,6.195,14.1
1130,1.61300288,0.00142807,0.635118,0.65937,0.689697,3.72935,89088,284,0.974389,2.03273,2.37724,2.58345,1.49999995,0.0426767445,6.29691295,4.58253054,0,6.254,14.1
1140,1.62726655,0.0014247,0.508519,0.474642,0.513646,2.57647,90112,288,0.972708,2.03431,2.3582,2.56773,1.49999995,0.0426467345,6.29691294,4.61520152,0,6.313,14.1
1150,1.64149582,0.00142281,0.515536,0.450247,0.522164,2.35888,89088,284,0.974991,2.03242,2.36366,2.57311,1.49999995,0.042617774,6.29691293,4.67140967,0,6.373,14.1
1160,1.65571749,0.00142035,0.483684,0.395623,0.428212,1.97319,89088,284,0.97614,2.03768,2.37125,2.57108,1.49999995,0.0425926651,6.29691293,4.77563876,0,6.432,14.2
1170,1.66992808,0.00142307,0.498303,0.372416,0.390635,1.88753,91136,292,0.974893,2.03167,2.3591,2.56273,1.49999994,0.0425688753,6.29691294,4.83336688,0,6.493,14.2
1180,1.68413395,0.00141736,0.540204,0.493885,0.445348,2.46796,93184,300,0.975901,2.03264,2.36374,2.56734,1.49999995,0.042545983,6.29691293,4.85390731,0,6.554,14.2
1190,1.69831549,0.00141675,0.530863,0.50379,0.410077,2.25062,94208,304,0.976314,2.04009,2.36329,2.57285,1.49999995,0.0425198622,6.29691293,4.90368825,0,6.615,14.2
1200,1.71245598,0.00141374,0.491026,0.405515,0.37943,1.83449,94208,304,0.977248,2.02703,2.36998,2.57192,1.49999995,0.0424930687,6.29691293,4.92069301,0,6.677,14.2
1210,1.72659975,0.0014135,0.465168,0.405555,0.373636,1.85829,92160,296,0.977426,2.02415,2.35373,2.56826,1.49999995,0.0424659813,6.29691293,4.89282838,0,6.738,14.2
1220,1.74073044,0.00141332,0.443868,0.348856,0.331921,1.64378,92160,296,0.978744,2.02313,2.34515,2.56392,1.49999995,0.0424380951,6.29691293,4.88405179,0,6.801,14.2
1230,1.75485521,0.00141138,0.420276,0.310003,0.288383,1.35075,92160,296,0.978582,2.02939,2.354,2.55976,1.49999995,0.0424087112,6.29691293,4.91686548,0,6.878,14.2
1240,1.76897037,0.00141169,0.400442,0.261356,0.256682,1.04854,92160,296,0.978263,2.02734,2.35435,2.55973,1.49999995,0.0423786451,6.29691293,4.94656737,0,6.958,14.1
1250,1.78308048,0.00141098,0.400456,0.240613,0.233924,0.903595,92160,296,0.976929,2.02633,2.35673,2.56421,1.49999995,0.0423489844,6.29691293,4.96376474,0,7.019,14.2
1260,1.79719146,0.00141091,0.399372,0.226553,0.211229,0.849053,92160,296,0.977184,2.02841,2.36063,2.56145,1.49999995,0.0423190979,6.29691292,4.97319193,0,7.080,14.2
1270,1.8112933,0.00140938,0.449237,0.310996,0.290997,1.2122,93184,300,0.976907,2.02966,2.35743,2.56539,1.49999995,0.0422884152,6.29691292,4.9711384,0,7.141,14.2
1280,1.82538614,0.0014095,0.509461,0.405123,0.34073,1.62426,92160,296,0.976323,2.03588,2.35903,2.56523,1.49999995,0.042257119,6.29691293,4.96236245,0,7.202,14.2
1290,1.83947988,0.00140934,0.447351,0.321202,0.309209,1.6308,92160,296,0.976919,2.02761,2.35788,2.56649,1.49999995,0.0422247434,6.29691293,4.93630034,0,7.263,14.2
1300,1.85355478,0.00140058,0.559498,0.509011,0.593494,3.02445,95232,308,0.971744,2.02672,2.3523,2.57447,1.49999995,0.0421956491,6.29691292,4.91002682,0,7.325,14.2
1310,1.86756034,0.00139698,0.615407,0.626584,0.642896,3.67969,97280,316,0.9727,2.02763,2.33668,2.58352,1.49999995,0.0421699777,6.29691291,4.95436386,0,7.390,14.2
1320,1.88151722,0.00139188,0.65194,0.721181,0.651682,3.95651,98304,320,0.976196,2.03085,2.34114,2.56843,1.49999995,0.0421443146,6.29691292,5.02802117,0,7.455,14.2
1330,1.89540346,0.00138738,0.874161,0.761253,0.974891,5.28521,100352,328,0.974243,2.03408,2.34756,2.57608,1.49999995,0.042121487,6.29691292,5.04644609,0,7.519,14.2
1340,1.90928804,0.00139543,0.727583,0.644674,0.768641,4.05512,105472,348,0.969987,2.03052,2.34222,2.58341,1.49999995,0.0420978414,6.29691292,5.05262819,0,7.588,14.2
1350,1.92319457,0.00139276,0.651242,0.60056,0.680666,3.46992,102400,336,0.972255,2.02849,2.34512,2.57536,1.49999995,0.0420776335,6.29691292,5.05838424,0,7.655,14.2
1360,1.93708332,0.00138394,0.637576,0.574955,0.597992,3.20501,105472,348,0.973586,2.03156,2.34326,2.58574,1.49999995,0.0420564859,6.29691292,5.0772153,0,7.724,14.2
1370,1.95096347,0.00138914,0.693619,0.600294,0.668745,3.55893,103424,340,0.973453,2.02825,2.35884,2.57932,1.49999995,0.0420339172,6.29691291,5.09713342,0,7.794,14.3
1380,1.9648342,0.00138618,0.682647,0.510544,0.677965,3.18593,102400,336,0.97723,2.03484,2.35548,2.57249,1.49999995,0.0420100153,6.29691291,5.11702444,0,7.863,14.3
1390,1.97872401,0.0013904,0.65343,0.580258,0.651405,3.17267,104448,344,0.975053,2.03058,2.36575,2.56759,1.49999995,0.0419863458,6.29691291,5.13369684,0,7.932,14.3
1400,1.99264626,0.00139452,0.75583,0.578608,0.706108,3.52434,109568,364,0.975903,2.0343,2.34404,2.57213,1.49999995,0.0419647888,6.29691291,5.16906935,0,8.003,14.3
1406,2,0.000377202,1.48091,1.32345,1.81496,9.67061,108544,360,0.978847,2.03267,2.3639,2.55781,1.49999995,0.0419474914,6.29691291,5.18281653,0,8.048,14.3
